Zip Code,City / Community,2022,2021,2020,2019,2018,2017
90001,Florence-Firestone,549616,527284,423635,397713,471901,366777
90002,Watts,549846,529007,417486,391204,458807,356381
90003,Florence,560142,543489,429998,402692,475225,366072
90004,Hancock Park,1883961,1861034,1524425,1527987,1642059,1420363
90005,Hancock Park,1989313,1949094,1655776,1643212,1705579,1528888
90006,Harvard Heights,1068837,1009531,835708,824063,897243,746634
90007,Univerity Park,950737,904919,734284,709788,830841,648065
90008,Baldwin Hills,1269041,1257881,955618,881309,1036053,816891
90010,Hancock Park,996518,942000,943000,857000,871000,859000
90011,Historic South-Central,591464,557209,449686,429527,512231,389952
90012,Chinatown,919290,887056,777366,721857,858244,704321
90013,Downtown,736715,643000,631000,605000,625000,698432
90014,Downtown,522213,521000,516000,484000,504000,474000
90015,Dowtown,870330,831927,735468,698353,809394,661018
90016,Mid-City,1123341,1088309,861305,800333,937037,718450
90017,Downtown ,737443,734129,685820,769360,735060,780216
90018,Jefferson Park,968113,949161,787187,746403,836470,680986
90019,Arlington Heights,1471512,1414897,1147758,1155288,1245992,1051889
90020,Hancock Park,4025889,3912372,3223580,3265539,3598765,2712691
90021,Downtown,853401,782000,673000,551000,607000,522000
90022,East Los Angeles,633491,609694,488738,472784,539261,442518
90023,Boyle Heights,610609,591909,464372,438508,524141,414111
90024,Westwood,3156581,3099426,2742479,2755228,2898262,2630376
90025,Sawtelle,1836650,1782620,1599440,1611814,1665218,1497566
90026,Echo Park,1248499,1184018,970894,952546,1051529,892635
90027,Griffith Park,2124748,2052024,1670294,1496217,1850592,1427241
90028,Hollywood,1361104,1336577,1149472,1148967,1226327,1064031
90029,East Hollywood,1211738,1198813,989957,937562,1089349,857210
90031,Lincoln Heights,854052,851419,666096,647978,725754,611182
90032,El Sereno,827944,829424,639483,628717,699356,569613
90033,Boyle Heights,677960,653091,520462,513971,573329,462884
90034,Palms,1709974,1686863,1444480,1410966,1552944,1311433
90035,Pico-Robertson,2243960,2106159,1856850,1848856,1966555,1694815
90036,Fairfax,2206850,2185737,1961495,1974661,2020994,1801707
90037,Vermont Square,672591,649541,515931,490698,571519,438567
90038,Hollywood,1348140,1315173,1198308,1215773,1260037,1119234
90039,Atwater Village,1398967,1341963,1058462,1041733,1145876,954854
90040,Commerce,613518,590966,478891,465789,524108,437536
90041,Eagle Rock,1297105,1252706,928777,939939,1042936,868692
90042,Highland Park,1099948,1096004,821150,829881,892596,768745
90043,Hyde Park,934795,937240,703010,670186,792690,618772
90044,Athens,626229,611684,467208,443238,532263,409284
90045,Westchester,1522591,1480961,1222316,1239386,1314026,1152864
90046,West Hollywood,2289112,2192391,1879146,1885149,2032543,1802788
90047,Vermont Vista,706461,691279,528280,503653,592991,460893
90048,Beverly Grove,2564109,2383831,2172392,2188862,2335755,2047903
90049,Brentwood,3899379,3820599,3293094,3387733,3516342,3348305
90056,Ladera Heights,1785614,1698714,1349013,1304300,1500324,1140045
90057,Westlake,1014953,943694,824105,798056,861736,747581
90058,Vernon,525886,500172,406200,389824,466465,355609
90059,Watts,553873,538721,417588,393787,463227,362066
90061,Willowbrook,577818,567449,443160,417265,491058,384922
90062,Vermont Square,800113,765661,602072,595553,651970,509945
90063,Boyle Heights,659491,664102,503337,488114,559061,437052
90064,Cheviot Hills,2109712,2007600,1810964,1817617,1904486,1694110
90065,Cypress Park,1151787,1118811,867157,863861,947753,802583
90066,Culver City,1847197,1804244,1545462,1559234,1669214,1450989
90067,Century City,1786840,1805270,1691407,1660507,1778265,1683363
90068,Hollywood,2048079,1928381,1591459,1604528,1746838,1557772
90069,West Hollywood,3169349,3096510,2757389,2842372,3004412,2750935
90077,Bel-Air,3495690,3410227,2887519,2936688,3090503,2892473
90094,Playa Vista,2261843,2133583,1809904,1839523,1919591,1777216
90201,Bell,622575,589566,471815,458649,524860,430550
90210,Beverly Hills,6733156,6630527,5570351,5759581,6015250,5643179
90211,Beverly Hills,2859819,2817865,2422763,2189852,2685144,1771562
90212,Beverly Hills,3710682,3723334,3128011,3194505,3443128,3021393
90220,Compton,571957,559470,429392,414074,489189,382920
90221,Compton,589639,571689,442438,421052,495257,389834
90222,Compton,550892,540578,412077,396345,466443,364389
90230,Culver City,1530748,1495260,1244644,1243306,1316909,1154721
90232,Culver City,1797158,1738498,1425749,1395073,1550764,1269006
90240,Downey,804587,791015,636510,624879,692245,596139
90241,Downey,803745,779204,623044,611550,683856,579091
90242,Downey,721738,696948,556900,548768,614630,514562
90245,El Segundo,1839114,1787502,1416916,1420631,1600480,1349352
90247,Gardena,733138,704015,560908,555254,609797,513079
90248,Gardena,774615,746660,598309,588255,649410,548811
90249,Gardena,791437,776052,594777,574974,659213,547148
90250,Hawthorne,845161,842778,666660,652128,737181,603088
90254,Hermosa Beach,2479272,2334453,1932767,1960841,2122950,1936488
90255,Huntington Park,629790,583688,462507,446902,520374,418328
90260,Lawndale,796129,794320,626377,590335,683390,560077
90262,Lynwood,612184,586096,460098,438763,511408,413883
90265,Malibu,4623281,4424548,3664342,3938325,3922568,3855834
90266,Manhattan Beach,3117528,3006272,2516696,2336793,2712620,2223343
90270,Bell,596476,563877,445331,427202,492221,405831
90272,Pacific Palisades,4018377,3875535,3402761,3556552,3552102,3427759
90274,Palos Verdes Estates,2647872,2487633,2001495,2028912,2131976,1980372
90275,Palos Verdes Estates,1854850,1776962,1360091,1360389,1460831,1330042
90277,Redondo Beach,1825265,1704237,1418518,1413161,1494780,1357533
90278,Redondo Beach,1401945,1355898,1062605,1045825,1161499,991729
90280,South Gate,618244,588295,467663,454340,518188,423271
90290,Topanga,1847364,1719148,1326975,1364585,1474630,1312817
90291,Venice,2136205,2067824,2151991,2199255,2129164,2135343
90292,Marina del Rey,1605357,1602890,1388832,1386186,1488864,1323010
90293,Playa del Rey,2051638,2003400,1623443,1629289,1812032,1558151
90301,Inglewood,712619,701977,545763,522108,623332,474724
90302,Inglewood,834530,804370,641876,628873,717458,559304
90303,Inglewood,781091,780174,586695,570782,675671,534861
90304,Inglewood,703941,703558,549660,529274,625294,481577
90305,Inglewood,832262,856214,632534,624763,711784,575539
90401,Santa Monica,1899057,1912448,1866423,1912413,1936444,1860932
90402,Santa Monica,5159850,5057612,4401719,4464378,4593642,4493844
90403,Santa Monica,2447768,2444063,2190411,2294085,2341810,2199862
90404,Santa Monica,1477364,1479879,1324026,1324996,1381216,1241666
90405,Santa Monica,2400711,2296363,2069392,2135773,2164793,2030024
90501,Torrance,905536,892637,710440,696104,782130,667082
90502,Torrance,775181,752170,581126,569745,638550,531145
90503,Torrance,1271535,1217944,951791,947114,1026669,911208
90504,Torrance,923977,922859,737848,734688,801164,688660
90505,Torrance,1362129,1322236,1024241,1008823,1097230,964001
90601,Whittier,781547,753702,602175,595791,659110,562646
90602,Whittier,771046,733063,571109,567003,638151,541430
90603,Whittier,817127,792848,615915,609887,679039,592831
90604,East La Mirada,767396,738435,569648,565823,638071,542923
90605,South Whittier,717170,687852,531263,528212,592683,501027
90606,West Whittier-Los Nietos,672867,646158,502002,494047,561260,467939
90638,La Mirada,821560,788157,613090,614327,677759,587530
90640,Montebello,725527,707920,572262,563020,634055,531878
90650,Norwalk,673885,645903,498803,491579,553198,466114
90660,Pico Rivera,663663,638931,501884,491527,555547,464981
90670,Santa Fe Springs,686598,659159,515007,502081,570818,476207
90701,Artesia,756305,736774,576064,573205,646173,544403
90703,Cerritos,961083,937559,749151,752850,812236,732410
90704,Avalon,889705,878902,900507,941862,901470,823027
90706,Bellflower,719271,689042,541922,536254,603302,508190
90710,Harbor City,849182,817947,636825,613521,703168,593081
90712,Lakewood,791923,779662,594516,588750,666681,564762
90713,Lakewood,821710,801114,615097,608339,688851,586808
90715,Lakewood,771248,745292,570420,565705,646173,540450
90716,Hawaiian Gardens,643815,614515,485406,460886,548054,430229
90717,Lomita,889101,897984,701911,689349,784929,653832
90723,Paramount,620941,595083,481277,465332,522742,441073
90731,San Pedro,851643,819833,642726,622566,706387,601840
90732,San Pedro,1020671,966480,774167,762899,840040,731613
90744,Wilmington,646959,634598,484354,472781,538646,440067
90745,Carson,730979,706668,557037,542690,613166,507514
90746,Carson,810208,771394,605109,579161,669877,543869
90755,Signal Hill,860532,856966,678988,671416,731600,643329
90802,Long Beach,580055,567360,474485,450426,513436,417845
90803,Long Beach,1459497,1401733,1120531,1117148,1199790,1078721
90804,Long Beach,801237,774340,592929,584155,664540,554735
90805,Long Beach,655355,639308,491169,477465,545012,446754
90806,Long Beach,730375,720168,565749,551231,614381,514361
90807,Long Beach,926169,924176,702085,706228,784464,675914
90808,Long Beach,925976,905139,693766,692962,774480,674468
90810,Carson,664687,641134,498312,477850,551786,446934
90813,Long Beach,650626,638259,473610,445374,532029,419893
90814,Long Beach,1153128,1111072,887212,876024,977641,831003
90815,Long Beach,967038,950833,731781,723331,807331,699166
91001,Altadena,1231663,1205289,894732,880781,992353,838237
91006,Arcadia,1354488,1311262,1058663,1103409,1149050,1075523
91007,Arcadia,1480556,1443590,1181958,1249963,1268604,1209234
91008,Bradbury,1722608,1587303,1399154,1400616,1425612,1399706
91010,Azusa,723574,698019,555924,547940,619510,516510
91011,La Canada Flintridge,1956655,1810224,1455011,1487336,1587462,1438796
91016,Monrovia,955435,912726,734889,740654,800701,702954
91020,La Crescenta-Montrose,1018845,979293,792248,785385,871407,743941
91024,Sierra Madre,1408336,1358013,1067444,1070918,1162115,1035353
91030,South Pasadena,1528343,1564193,1267413,1249375,1338355,1063538
91040,Shadow Hills,905884,877030,658538,646143,743934,612324
91042,Tujunga,917014,879249,671455,649972,754008,621196
91101,Pasadena,911909,858132,714351,717668,756669,691993
91103,Pasadena,1148051,1075881,840884,822959,931604,779865
91104,Pasadena,1182486,1144637,867481,864300,960395,813178
91105,Pasadena,1749640,1766087,1419108,1421616,1533305,1373216
91106,Pasadena,1315624,1290923,1033875,1037279,1106517,1005102
91107,Pasadena,1317410,1279835,978972,983225,1060196,928531
91108,San Marino,2411627,2511416,2203756,1947631,2330625,1709634
91201,Glendale,1271055,1201040,929758,921694,1034458,860851
91202,Glendale,1403578,1302615,1014889,1008284,1121009,929596
91203,Glendale,910376,890554,687034,696152,772080,632815
91204,Glendale,980829,959448,745568,759305,827638,695110
91205,Glendale,1077849,1017860,786511,799141,871465,737099
91206,Glendale,1476121,1405158,1075929,1070694,1192913,995940
91207,Glendale,1646167,1548849,1170029,1178741,1294630,1116600
91208,Glendale,1468843,1430286,1074993,1072383,1199435,1005053
91210,Glendale,881594,841660,769712,738786,695609,682854
91214,Glendale,1203043,1170504,891419,890342,984313,846089
91301,Agoura Hills,1329658,1238322,957748,961194,1046715,953781
91302,Calabasas,2171664,2016975,1555081,1571954,1678042,1533673
91303,Canoga Park,809854,791752,587817,577460,654526,538975
91304,Canoga Park,937413,923193,693045,681352,758616,654047
91306,Winnetka,833318,808386,609123,600022,678129,567192
91307,West Hills,991016,960195,728732,723047,803715,701413
91311,Chatsworth,960530,926403,697201,687552,770544,663393
91316,Encino,1286552,1226385,923268,926809,1030045,893489
91321,Santa Clarita,811178,792395,605359,601430,661616,570114
91324,Northridge,918576,892756,665039,655798,743196,627291
91325,Northridge,1085011,1043108,764448,742554,850980,706686
91326,Northridge,1198345,1129797,838203,826565,923134,792932
91331,Arleta,706734,686607,514725,502328,582706,462897
91335,Reseda,799946,793668,588854,579513,658308,543394
91340,San Fernando,692667,680050,504491,491840,573906,458186
91342,Lake View Terrace,759194,739139,557786,543774,624242,511405
91343,North Hills,874801,862481,624511,611507,714888,578879
91344,Granada Hills,928284,918165,676096,663203,762967,628711
91345,Mission Hills,770507,760117,568069,557512,634349,524945
91350,Santa Clarita,798624,774557,587229,581199,645212,560967
91351,Santa Clarita Canyon Country,709071,684212,523467,509948,577843,486564
91352,Sun Valley,790944,779577,584275,567346,673788,528834
91354,Santa Clarita,835413,808268,624983,623454,678183,601221
91355,Santa Clarita,819751,801277,615733,614681,667300,592235
91356,Tarzana,1820635,1702147,1239910,1249536,1368202,1208566
91364,Woodland Hills,1400220,1290280,962881,941644,1069577,895507
91367,Woodland Hills,1244295,1194026,880019,858763,974768,816557
91381,Stevenson Ranch,1174617,1094018,842101,832302,904545,819334
91384,Castaic,795980,764006,585486,580870,638389,558216
91387,Santa Clarita,826862,802965,610951,604728,676741,581000
91390,Agua Dulce,915027,885919,667503,663575,733969,642369
91401,Valley Glen,1189980,1137987,867233,845336,974302,805301
91402,Panorama City,725548,694839,530532,513874,593319,481650
91403,Sherman Oaks,2031571,1847977,1435551,1425002,1575340,1327090
91405,Valley Glen,856886,836570,626283,611365,715151,564236
91406,Lake Balboa,849795,854315,630541,623869,705450,581459
91411,Van Nuys,1171299,1083822,829218,805371,948476,758528
91423,Sherman Oaks,1760230,1658924,1277554,1292132,1442392,1214429
91436,Encino,2618175,2379216,1837106,1857820,1999500,1757084
91501,Burbank,1382839,1319922,1006012,999915,1125533,941252
91502,Burbank,946828,931844,751083,750595,817291,698477
91504,Burbank,1248369,1209400,922818,905099,1002449,849158
91505,Burbank,1113601,1087695,840003,829439,928002,774250
91506,Burbank,1182488,1160858,873797,858752,967287,800027
91601,North Hollywood,1087263,1051653,832059,835580,922709,758807
91602,Toluca Lake,1626739,1526273,1218220,1201995,1357993,1144150
91604,Studio City,2094040,2003817,1608965,1612138,1759723,1511549
91605,North Hollywood,814522,795945,600540,584356,689725,540002
91606,North Hollywood,899480,885842,678593,668589,773731,617328
91607,Valley Village,1420395,1379998,1009875,1003790,1158559,941738
91702,Azusa,673304,636155,491047,486568,544984,459161
91706,Baldwin Park,646330,610851,479000,482219,533571,445371
91711,Claremont,926726,890177,702520,694026,762563,671295
91722,Covina,694416,667835,510440,511373,568329,481214
91723,Covina,749207,724264,557372,553382,619931,530064
91724,Charter Oak,826371,799010,617648,606829,680511,586759
91731,El Monte,673363,652676,522993,548738,583593,510114
91732,El Monte,677262,648266,516628,525005,570041,490679
91733,El Monte,664773,643025,511394,514020,564163,480194
91740,Glendora,757804,729649,564289,564891,625702,544756
91741,Glendora,951822,916267,720955,732829,789154,701760
91744,La Puente,656465,625164,484716,477178,534637,452931
91745,Hacienda Heights,904155,858621,676851,673656,735132,648237
91746,Avocado Heights,666245,633865,494442,492684,549523,458944
91748,Rowland Heights,891528,841485,677414,680555,727803,662808
91750,La Verne,887524,858499,668232,666461,737589,642542
91754,Monterey Park,911163,892762,718579,708125,780533,665015
91755,Monterey Park,874590,835993,664212,669083,735579,646645
91765,Diamond Bar,986194,933628,733513,745420,790634,736980
91766,Pomona,636989,605297,458230,445644,504696,421834
91767,Pomona,639898,608360,466899,455079,515423,428510
91768,Pomona,633072,595581,459483,443358,500100,418164
91770,Rosemead,793259,769804,627362,625017,685395,589762
91773,San Dimas,861065,831897,644133,640197,711265,618160
91775,San Gabriel,1210254,1141003,909293,922589,993262,879492
91776,San Gabriel,890273,885440,716157,714563,786662,683059
91780,Temple City,963009,953723,765370,786297,831908,747653
91789,Walnut,1035253,977561,772380,787564,838160,783012
91790,West Covina,751028,729681,560757,560177,617966,528090
91791,West Covina,868286,836829,654515,655725,708267,623302
91792,West Covina,770555,736892,568217,572072,624430,548983
91801,Alhambra,937611,925599,742326,739700,799924,695957
91803,Alhambra,901758,886609,704323,705859,776846,658184
93510,Acton,866524,841225,620082,611452,689445,584092
93532,Elizabeth Lake,398705,398595,296259,286604,329280,273498
93534,Lancaster,399886,382861,270483,260167,305123,233022
93535,Lancaster,415885,395764,278047,268952,313358,242267
93536,Lancaster,521693,509923,371561,363288,416694,339167
93543,Littlerock,437865,410040,301256,295282,345677,271828
93544,Lake Los Angeles,403175,380122,291709,277688,318016,256205
93550,Palmdale,432116,412277,296998,286101,332530,262229
93551,Palmdale,578439,563547,412848,405199,457001,382121
93552,Palmdale,479027,460125,328836,318765,367131,291495
93591,Lake Los Angeles,369426,335864,243221,230716,270996,200203