Neighborhood,Regions,Num people in state prison,Census population 2020,Total Population 2020,Imprisonment rate per 100000
Van Nuys,San Fernando Valley,392,"109,290","109,682",357
Westlake,Central L.A.,430,"106,288","106,566",404
Koreatown,Central L.A.,349,"104,558","104,907",333
Boyle Heights,Eastside,453,"87,912","88,362",513
Sylmar,San Fernando Valley,301,"86,750","86,945",346
San Pedro,Harbor,340,"83,623","82,405",413
North Hollywood,San Fernando Valley,254,"78,921","79,175",321
Pacoima,San Fernando Valley,389,"77,296","77,685",501
Sun Valley,San Fernando Valley,278,"75,069","75,347",369
Hollywood,Central L.A.,238,"73,475","73,705",323
Woodland Hills,San Fernando Valley,127,"73,175","73,302",173
Reseda,San Fernando Valley,240,"70,554","70,794",339
Sherman Oaks,San Fernando Valley,136,"69,813","69,949",194
Panorama City,San Fernando Valley,286,"68,441","68,727",416
Downtown,Central L.A.,262,"66,555","66,196",396
Northridge,San Fernando Valley,152,"65,809","65,946",230
East Hollywood,Central L.A.,250,"61,439","61,689",405
Canoga Park,San Fernando Valley,201,"60,318","60,519",332
Valley Glen,San Fernando Valley,175,"58,996","59,171",296
North Hills,San Fernando Valley,188,"58,093","58,281",323
Westwood,Westside,88,"56,971","57,059",154
Granada Hills,San Fernando Valley,166,"55,379","55,545",299
Wilmington,Harbor,297,"54,842","55,139",539
Florence,South Central L.A.,440,"51,548","51,988",846
Highland Park,Northeast L.A.,220,"51,459","51,679",426
Winnetka,San Fernando Valley,154,"50,390","50,544",305
Vermont Square,South Central L.A.,410,"50,018","50,420",813
Mid-City,Central L.A.,274,"49,723","49,997",548
Historic South-Central,South Central L.A.,282,"48,959","49,241",573
Watts,South Central L.A.,538,"48,836","49,374","1,090"
Chatsworth,San Fernando Valley,106,"48,407","48,513",219
Westchester,South Bay,156,"47,730","47,886",326
Harbor Gateway,Harbor,204,"46,603","46,807",436
Encino,San Fernando Valley,106,"46,194","46,300",229
Mid-Wilshire,Central L.A.,122,"46,039","46,161",264
Venice,Westside,177,"45,888","46,065",384
Palms,Westside,106,"45,385","45,491",233
Central-Alameda,South Central L.A.,301,"43,475","43,776",688
El Sereno,Eastside,174,"41,951","42,125",413
West Hills,San Fernando Valley,102,"40,605","40,707",251
Studio City,San Fernando Valley,82,"39,959","40,041",205
Hyde Park,South Central L.A.,329,"39,756","39,980",823
Pico-Union,Central L.A.,177,"39,301","39,478",448
Sawtelle,Westside,85,"39,218","39,303",216
Tarzana,San Fernando Valley,80,"37,768","37,848",211
Mar Vista,Westside,82,"36,708","36,790",223
Green Meadows,South Central L.A.,396,"35,836","36,232","1,093"
Brentwood,Westside,57,"35,260","35,317",161
Echo Park,Central L.A.,127,"33,566","33,693",377
South Park,South Central L.A.,261,"33,554","33,815",772
Exposition Park,South Central L.A.,244,"33,547","33,774",722
Eagle Rock,Northeast L.A.,84,"33,339","33,423",251
Arleta,San Fernando Valley,105,"32,771","32,876",319
Los Feliz,Central L.A.,74,"32,701","32,775",226
Baldwin Hills/Crenshaw,South Central L.A.,287,"32,375","32,662",879
Del Rey,Westside,105,"32,120","32,225",326
Broadway-Manchester,South Central L.A.,289,"29,461","29,750",971
Tujunga,Verdugos,81,"29,346","29,427",275
Silver Lake,Central L.A.,103,"29,186","29,265",352
Vermont-Slauson,South Central L.A.,269,"28,896","29,165",922
Lincoln Heights,Eastside,145,"27,181","27,326",531
Valley Village,San Fernando Valley,73,"27,100","27,173",269
Harbor City,Harbor,90,"26,948","27,038",333
Lake Balboa,San Fernando Valley,81,"26,889","26,970",300
Beverly Grove,Central L.A.,48,"26,392","26,440",182
Porter Ranch,San Fernando Valley,54,"26,056","26,110",207
Vermont Vista,South Central L.A.,244,"25,809","26,053",937
Pacific Palisades,Westside,47,"25,775","25,822",182
University Park,South Central L.A.,85,"25,459","25,544",333
Hollywood Hills,Central L.A.,47,"24,162","24,189",194
Glassell Park,Northeast L.A.,84,"24,117","24,201",347
Jefferson Park,South Central L.A.,169,"23,812","23,981",705
Vermont Knolls,South Central L.A.,185,"23,012","23,197",798
Pico-Robertson,Westside,40,"22,799","22,839",175
West Adams,South Central L.A.,150,"22,087","22,237",675
Arlington Heights,Central L.A.,117,"20,188","20,305",576
Mission Hills,San Fernando Valley,72,"20,033","20,105",358
Harvard Heights,Central L.A.,73,"17,677","17,750",411
Hollywood Hills West,Central L.A.,39,"17,425","17,464",223
Adams-Normandie,South Central L.A.,101,"16,922","17,023",593
Sunland,Verdugos,47,"16,771","16,818",279
Montecito Heights,Northeast L.A.,73,"16,497","16,570",441
Gramercy Park,South Central L.A.,147,"16,483","16,630",884
Playa Vista,Westside,23,"15,760","15,783",146
Shadow Hills,San Fernando Valley,44,"15,663","15,707",280
Chinatown,Central L.A.,42,"15,550","15,592",269
West Los Angeles,Westside,22,"14,836","14,858",148
Atwater Village,Northeast L.A.,48,"13,964","14,012",343
Fairfax,Central L.A.,28,"12,895","12,923",217
Mount Washington,Northeast L.A.,56,"12,599","12,655",443
Lake View Terrace,San Fernando Valley,44,"12,474","12,518",351
Playa del Rey,South Bay,22,"12,424","12,446",177
Leimert Park,South Central L.A.,70,"12,396","12,466",562
Manchester Square,South Central L.A.,127,"12,104","12,231","1,038"
Beverly Crest,Westside,36,"11,602","11,638",309
Harvard Park,South Central L.A.,103,"11,441","11,544",892
Toluca Lake,San Fernando Valley,24,"11,330","11,354",211
Hancock Park,Central L.A.,17,"10,627","10,644",160
Cypress Park,Northeast L.A.,47,"8,056","8,103",580
Larchmont,Central L.A.,24,"7,835","7,859",305
Cheviot Hills,Westside,10,"7,619","7,629",131
Bel-Air,Westside,10,"7,530","7,540",133
Century City,Westside,11,"7,442","7,453",148
Chesterfield Square,South Central L.A.,49,"7,131","7,180",682
Beverlywood,Westside,11,"6,841","6,852",161
Elysian Valley,Central L.A.,21,"6,123","6,144",342
Windsor Square,Central L.A.,15,"5,441","5,456",275
Carthay,Central L.A.,19,"5,144","5,163",368
Rancho Park,Westside,8,"4,769","4,777",167
Elysian Park,Central L.A.,16,"2,090","2,106",760
Griffith Park,Central L.A.,7,"1,106","1,113",629