RANK,NEIGHBORHOOD,POPULATION PER SQMI
1,Koreatown,42611
2,Westlake,38214
3,East Hollywood,31095
4,Pico-Union,25352
5,Maywood,23638
6,Harvard Heights,23473
7,Hollywood,22193
8,Walnut Park,22028
9,Palms,21870
10,Adams-Normandie,21848
11,South Park,21638
12,Lennox,21557
13,Arlington Heights,21423
14,Huntington Park,20223
15,University Park,20217
16,Cudahy,19697
17,Historic South-Central,19474
18,West Hollywood,18924
19,Central-Alameda,18760
20,Vermont-Slauson,18577
21,Vermont Knolls,18057
22,Panorama City,18028
23,Vermont Square,17798
24,Bell Gardens,17762
25,Larchmont,17747
26,Pico-Robertson,17468
27,Watts,17346
28,Westmont,17066
29,Echo Park,16868
30,East Los Angeles,16863
31,Highland Park,16835
32,Exposition Park,16819
33,Florence-Firestone,16805
34,East Compton,16542
35,Jefferson Park,16300
36,Lawndale,16119
37,Harvard Park,16072
38,Florence,15661
39,Hawaiian Gardens,15141
40,Broadway-Manchester,15060
41,Mid-City,15051
42,Mid-Wilshire,14988
43,West Adams,14686
44,Bell,14357
45,Lynwood,14264
46,Boyle Heights,14229
47,Vermont Vista,14154
48,Hawthorne,13848
49,South San Jose Hills,13646
50,Los Feliz,13512
51,Cypress Park,13478
52,Sawtelle,13319
53,North Hollywood,13264
54,Westwood,13036
55,Beverly Grove,12990
56,South Gate,12945
57,West Puente Valley,12855
58,Green Meadows,12785
59,Hyde Park,12700
60,Hermosa Beach,12481
61,Inglewood,12330
62,Valley Glen,12325
63,Mar Vista,12259
64,Canoga Park,12240
65,West Los Angeles,12061
66,El Monte,11995
67,Venice,11891
68,Citrus,11827
69,La Puente,11761
70,Bellflower,11756
71,Valley Village,11600
72,Van Nuys,11542
73,Manchester Square,11449
74,Del Rey,11420
75,Paramount,11395
76,Alhambra,11275
77,Silver Lake,11266
78,Baldwin Park,11176
79,Valinda,10748
80,Lincoln Heights,10602
81,Reseda,10600
82,Norwalk,10572
83,Chinatown,10568
84,Pacoima,10510
85,Baldwin Hills/Crenshaw,10446
86,Lomita,10424
87,Rosemead,10332
88,South Whittier,10291
89,Vincent,10163
90,East San Gabriel,10157
91,Redondo Beach,10129
92,Fairfax,10122
93,Artesia,10036
94,Arleta,10034
95,North Hills,10003
96,West Whittier-Los Nietos,9899
97,Gardena,9894
98,Leimert Park,9880
99,San Fernando,9856
100,Winnetka,9826
101,El Sereno,9826
102,Santa Monica,9817
103,Charter Oak,9816
104,Carthay,9642
105,Mayflower Village,9585
106,Chesterfield Square,9571
107,San Gabriel,9433
108,Elysian Valley,9354
109,West Carson,9219
110,Compton,9199
111,Del Aire,9132
112,Harbor City,9127
113,Willowbrook,9117
114,Long Beach,8882
115,Gramercy Park,8859
116,North El Monte,8677
117,Manhattan Beach,8573
118,Downey,8566
119,Glassell Park,8524
120,East La Mirada,8506
121,Atwater Village,8379
122,Temple City,8366
123,Lakewood,8348
124,Windsor Square,8255
125,Sun Valley,8048
126,San Pasqual,8036
127,Century City,7869
128,Monterey Park,7823
129,Lake Balboa,7754
130,Harbor Gateway,7720
131,Beverlywood,7654
132,Eagle Rock,7644
133,Alondra Park,7548
134,Culver City,7475
135,Montebello,7329
136,Pico Rivera,7187
137,Rancho Park,7169
138,South El Monte,7150
139,South Pasadena,7114
140,Montecito Heights,6959
141,Mount Washington,6878
142,Athens,6829
143,Torrance,6701
144,Covina,6701
145,Sherman Oaks,6687
146,San Pedro,6640
147,Pomona,6556
148,West Covina,6509
149,Hancock Park,6459
150,Toluca Lake,6393
151,Glendale,6368
152,Northridge,6080
153,View Park-Windsor Hills,6008
154,La Mirada,5966
155,Beverly Hills,5933
156,Avocado Heights,5907
157,Cerritos,5851
158,Burbank,5785
159,Mission Hills,5721
160,South San Gabriel,5708
161,Marina del Rey,5706
162,Whittier,5688
163,Wilmington,5636
164,Sylmar,5579
165,La Crescenta-Montrose,5401
166,Studio City,5395
167,Pasadena,5366
168,Desert View Highlands,5160
169,Altadena,4900
170,Downtown,4770
171,Arcadia,4749
172,Carson,4676
173,East Pasadena,4622
174,West Hills,4551
175,Cheviot Hills,4520
176,Hacienda Heights,4503
177,Azusa,4496
178,Porter Ranch,4462
179,Encino,4411
180,Signal Hill,4171
181,Woodland Hills,4040
182,Tarzana,4038
183,La Verne,3863
184,Westchester,3839
185,Sunland,3825
186,Diamond Bar,3754
187,Rowland Heights,3604
188,Sierra Madre,3563
189,Playa del Rey,3542
190,San Marino,3428
191,Granada Hills,3344
192,Walnut,3329
193,West Compton,3291
194,Duarte,3212
195,Rancho Palos Verdes,3084
196,Castaic,3076
197,Hollywood Hills,3063
198,Hollywood Hills West,3048
199,El Segundo,2925
200,Palos Verdes Estates,2822
201,Lake View Terrace,2790
202,Stevenson Ranch,2765
203,Santa Clarita,2745
204,Tujunga,2649
205,Monrovia,2643
206,Val Verde,2588
207,Glendora,2568
208,Agoura Hills,2495
209,Quartz Hill,2475
210,La Cañada Flintridge,2369
211,Chatsworth,2301
212,San Dimas,2244
213,Ladera Heights,2214
214,Rolling Hills Estates,2185
215,Claremont,2124
216,Brentwood,2059
217,Santa Fe Springs,2014
218,Commerce,1912
219,Playa Vista,1859
220,Lake Los Angeles,1601
221,Elysian Park,1538
222,Westlake Village,1534
223,Beverly Crest,1318
224,Calabasas,1247
225,Bel-Air,1207
226,Lancaster,1180
227,Avalon,1159
228,Ramona,1122
229,Hidden Hills,1100
230,Pacific Palisades,1048
231,Shadow Hills,1023
232,La Habra Heights,979
233,Rancho Dominguez,947
234,West San Dimas,937
235,Sun Village,917
236,Rolling Hills,893
237,Palmdale,874
238,North Whittier,797
239,Littlerock,766
240,Veterans Administration,683
241,Bradbury,658
242,Malibu,629
243,Northwest Palmdale,540
244,Topanga,386
245,Green Valley,290
246,Elizabeth Lake,219
247,Lopez/Kagel Canyons,195
248,Acton,166
249,Irwindale,154
250,Hasley Canyon,136
251,Unincorporated Santa Monica Mountains,100
252,Agua Dulce,99
253,Leona Valley,90
254,Industry,82
255,Lake Hughes,61
256,Unincorporated Santa Susana Mountains,58
257,Castaic Canyons,40
258,Southeast Antelope Valley,27
259,Vernon,18
260,Northwest Antelope Valley,16
261,Tujunga Canyons,11
262,Northeast Antelope Valley,10
263,Ridge Route,7
264,Angeles Crest,3
265,Unincorporated Catalina Island,2